"player","player_fuzzy_cricketdata","team","merge_team","season","player_fuzzy_ipl_contracts"
"TK Curran","T  Curran","Delhi Capitals","delhi capitals","2021","T  Curran"
"TH David","T  David","Mumbai Indians","mumbai indians","2022","T  David"
"TH David","T  David","Mumbai Indians","mumbai indians","2023","T  David"
"TU Deshpande","T  Deshpande","Delhi Capitals","delhi capitals","2020","T  Deshpande"
"TU Deshpande","T  Deshpande","Chennai Super Kings","chennai super kings","2022","T  Deshpande"
"TU Deshpande","T  Deshpande","Chennai Super Kings","chennai super kings","2023","T  Deshpande"
"TM Head","T  Head","Royal Challengers Bangalore","royal challengers bangalore","2017","T  Head"
"TS Mills","T  Mills","Royal Challengers Bangalore","royal challengers bangalore","2017","T  Mills"
"TS Mills","T  Mills","Mumbai Indians","mumbai indians","2022","T  Mills"
"T Natarajan","T  Natarajan","Punjab Kings","punjab kings","2017","T  Natarajan"
"T Natarajan","T  Natarajan","Sunrisers Hyderabad","sunrisers hyderabad","2020","T  Natarajan"
"T Natarajan","T  Natarajan","Sunrisers Hyderabad","sunrisers hyderabad","2021","T  Natarajan"
"T Natarajan","T  Natarajan","Sunrisers Hyderabad","sunrisers hyderabad","2022","T  Natarajan"
"T Natarajan","T  Natarajan","Sunrisers Hyderabad","sunrisers hyderabad","2023","T  Natarajan"
"TL Seifert","T  Seifert","Kolkata Knight Riders","kolkata knight riders","2021","T  Seifert"
"TL Seifert","T  Seifert","Delhi Capitals","delhi capitals","2022","T  Seifert"
"TG Southee","T  Southee","Mumbai Indians","mumbai indians","2017","T  Southee"
"TG Southee","T  Southee","Royal Challengers Bangalore","royal challengers bangalore","2018","T  Southee"
"TG Southee","T  Southee","Royal Challengers Bangalore","royal challengers bangalore","2019","T  Southee"
"TG Southee","T  Southee","Kolkata Knight Riders","kolkata knight riders","2022","T  Southee"
"TG Southee","T  Southee","Kolkata Knight Riders","kolkata knight riders","2023","T  Southee"
"T Stubbs","T  Stubbs","Mumbai Indians","mumbai indians","2023","T  Stubbs"
"Tilak Varma","T  Varma","Mumbai Indians","mumbai indians","2022","T  Varma"
"Tilak Varma","T  Varma","Mumbai Indians","mumbai indians","2023","T  Varma"
"Umran Malik","U  Malik","Sunrisers Hyderabad","sunrisers hyderabad","2022","U  Malik"
"Umran Malik","U  Malik","Sunrisers Hyderabad","sunrisers hyderabad","2023","U  Malik"
"UT Yadav","U  Yadav","Kolkata Knight Riders","kolkata knight riders","2017","U  Yadav"
"UT Yadav","U  Yadav","Royal Challengers Bangalore","royal challengers bangalore","2018","U  Yadav"
"UT Yadav","U  Yadav","Royal Challengers Bangalore","royal challengers bangalore","2019","U  Yadav"
"UT Yadav","U  Yadav","Royal Challengers Bangalore","royal challengers bangalore","2020","U  Yadav"
"UT Yadav","U  Yadav","Kolkata Knight Riders","kolkata knight riders","2022","U  Yadav"
"UT Yadav","U  Yadav","Kolkata Knight Riders","kolkata knight riders","2023","U  Yadav"
"VR Aaron","V  Aaron","Punjab Kings","punjab kings","2017","V  Aaron"
"VR Aaron","V  Aaron","Rajasthan Royals","rajasthan royals","2019","V  Aaron"
"VR Aaron","V  Aaron","Rajasthan Royals","rajasthan royals","2020","V  Aaron"
"VR Aaron","V  Aaron","Gujarat Titans","gujarat titans","2022","V  Aaron"
"VG Arora","V  Arora","Punjab Kings","punjab kings","2022","V  Arora"
"VG Arora","V  Arora","Kolkata Knight Riders","kolkata knight riders","2023","V  Arora"
"VR Iyer","V  Iyer","Kolkata Knight Riders","kolkata knight riders","2023","V  Iyer"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2017","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2018","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2019","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2020","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2021","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2022","V  Kohli"
"V Kohli","V  Kohli","Royal Challengers Bangalore","royal challengers bangalore","2023","V  Kohli"
"R Vinay Kumar","R  Kumar","Mumbai Indians","mumbai indians","2017","V  Kumar"
"R Vinay Kumar","R  Kumar","Kolkata Knight Riders","kolkata knight riders","2018","V  Kumar"
"V Shankar","V  Shankar","Sunrisers Hyderabad","sunrisers hyderabad","2017","V  Shankar"
"V Shankar","V  Shankar","Delhi Daredevils","delhi daredevils","2018","V  Shankar"
"V Shankar","V  Shankar","Sunrisers Hyderabad","sunrisers hyderabad","2019","V  Shankar"
"V Shankar","V  Shankar","Sunrisers Hyderabad","sunrisers hyderabad","2020","V  Shankar"
"V Shankar","V  Shankar","Sunrisers Hyderabad","sunrisers hyderabad","2021","V  Shankar"
"V Shankar","V  Shankar","Gujarat Titans","gujarat titans","2022","V  Shankar"
"V Shankar","V  Shankar","Gujarat Titans","gujarat titans","2023","V  Shankar"
"Vivrant Sharma","V  Sharma","Sunrisers Hyderabad","sunrisers hyderabad","2023","V  Sharma"
"Virat Singh","V  Singh","Sunrisers Hyderabad","sunrisers hyderabad","2021","V  Singh"
"Vishnu Vinod","V  Vinod","Mumbai Indians","mumbai indians","2023","V  Vinod"
"VR Iyer","V  Iyer","Kolkata Knight Riders","kolkata knight riders","2021","V  lyer"
"VR Iyer","V  Iyer","Kolkata Knight Riders","kolkata knight riders","2022","V  lyer"
"WP Saha","W  Saha","Punjab Kings","punjab kings","2017","W  Saha"
"WP Saha","W  Saha","Sunrisers Hyderabad","sunrisers hyderabad","2018","W  Saha"
"WP Saha","W  Saha","Sunrisers Hyderabad","sunrisers hyderabad","2019","W  Saha"
"WP Saha","W  Saha","Sunrisers Hyderabad","sunrisers hyderabad","2020","W  Saha"
"WP Saha","W  Saha","Sunrisers Hyderabad","sunrisers hyderabad","2021","W  Saha"
"WP Saha","W  Saha","Gujarat Titans","gujarat titans","2022","W  Saha"
"WP Saha","W  Saha","Gujarat Titans","gujarat titans","2023","W  Saha"
"Washington Sundar","W  Sundar","Royal Challengers Bangalore","royal challengers bangalore","2018","W  Sundar"
"Washington Sundar","W  Sundar","Royal Challengers Bangalore","royal challengers bangalore","2019","W  Sundar"
"Washington Sundar","W  Sundar","Royal Challengers Bangalore","royal challengers bangalore","2020","W  Sundar"
"Washington Sundar","W  Sundar","Royal Challengers Bangalore","royal challengers bangalore","2021","W  Sundar"
"Washington Sundar","W  Sundar","Sunrisers Hyderabad","sunrisers hyderabad","2022","W  Sundar"
"Washington Sundar","W  Sundar","Sunrisers Hyderabad","sunrisers hyderabad","2023","W  Sundar"
"YS Chahal","Y  Chahal","Royal Challengers Bangalore","royal challengers bangalore","2017","Y  Chahal"
"YS Chahal","Y  Chahal","Royal Challengers Bangalore","royal challengers bangalore","2018","Y  Chahal"
"YS Chahal","Y  Chahal","Royal Challengers Bangalore","royal challengers bangalore","2019","Y  Chahal"
"YS Chahal","Y  Chahal","Royal Challengers Bangalore","royal challengers bangalore","2020","Y  Chahal"
"YS Chahal","Y  Chahal","Royal Challengers Bangalore","royal challengers bangalore","2021","Y  Chahal"
"YS Chahal","Y  Chahal","Rajasthan Royals","rajasthan royals","2022","Y  Chahal"
"YS Chahal","Y  Chahal","Rajasthan Royals","rajasthan royals","2023","Y  Chahal"
"Yash Dayal","Y  Dayal","Gujarat Titans","gujarat titans","2022","Y  Dayal"
"Yash Dayal","Y  Dayal","Gujarat Titans","gujarat titans","2023","Y  Dayal"
"YV Dhull","Y  Dhull","Delhi Capitals","delhi capitals","2023","Y  Dhull"
"YBK Jaiswal","Y  Jaiswal","Rajasthan Royals","rajasthan royals","2020","Y  Jaiswal"
"YBK Jaiswal","Y  Jaiswal","Rajasthan Royals","rajasthan royals","2021","Y  Jaiswal"
"YBK Jaiswal","Y  Jaiswal","Rajasthan Royals","rajasthan royals","2022","Y  Jaiswal"
"YBK Jaiswal","Y  Jaiswal","Rajasthan Royals","rajasthan royals","2023","Y  Jaiswal"
"YK Pathan","Y  Pathan","Kolkata Knight Riders","kolkata knight riders","2017","Y  Pathan"
"YK Pathan","Y  Pathan","Sunrisers Hyderabad","sunrisers hyderabad","2018","Y  Pathan"
"YK Pathan","Y  Pathan","Sunrisers Hyderabad","sunrisers hyderabad","2019","Y  Pathan"
"Yuvraj Singh","Y  Singh","Sunrisers Hyderabad","sunrisers hyderabad","2017","Y  Singh"
"Yuvraj Singh","Y  Singh","Punjab Kings","punjab kings","2018","Y  Singh"
"Yuvraj Singh","Y  Singh","Mumbai Indians","mumbai indians","2019","Y  Singh"
"Yash Thakur","Y  Thakur","Lucknow Super Giants","lucknow super giants","2023","Y  Thakur"
"Z Khan","Z  Khan","Delhi Daredevils","delhi daredevils","2017","Z  Khan"
