player,position,price_lakhs,price_dollars_thousands,team
Ajinkya Rahane,BAT,525,739,DELHI CAPITALS
Shikhar Dhawan,BAT,520,732,DELHI CAPITALS
Jason Roy,BAT,150,211,DELHI CAPITALS
Amit Mishra,BOW,400,563,DELHI CAPITALS
Marcus Stoinis,AR,480,676,DELHI CAPITALS
Alex Carey,BAT/WK,240,338,DELHI CAPITALS
Harshal Patel,AR,20,28,DELHI CAPITALS
Mohit Sharma,BOW,50,70,DELHI CAPITALS
Kagiso Rabada,BOW,420,591,DELHI CAPITALS
Axar Patel,AR,500,704,DELHI CAPITALS
Shreyas lyer,BAT,700,985,DELHI CAPITALS
Shimron Hetmyer,BAT,775,1091,DELHI CAPITALS
Keemo Paul,AR,50,70,DELHI CAPITALS
Avesh Khan,BOW,70,98,DELHI CAPITALS
Tushar Deshpande,BOW,20,28,DELHI CAPITALS
Lalit Yadav,AR,20,28,DELHI CAPITALS
Rishabh Pant,BAT/WK,1500,2112,DELHI CAPITALS
Sandeep Lamichhane,BOW,20,28,DELHI CAPITALS
Riyan Parag,AR,20,28,RAJASTHAN ROYALS
Mayank Markande,BOW,200,281,RAJASTHAN ROYALS
Kartik Tyagi,BOW,130,183,RAJASTHAN ROYALS
Anuj Rawat,BAT/WK,80,112,RAJASTHAN ROYALS
Yashasvi Jaiswal,AR,240,338,RAJASTHAN ROYALS
Akash Singh,BOW,20,28,RAJASTHAN ROYALS
Steven Smith,BAT,1250,1760,RAJASTHAN ROYALS
Jos Buttler,BAT/WK,440,619,RAJASTHAN ROYALS
Ben Stokes,AR,1250,1760,RAJASTHAN ROYALS
David Miller,BAT,75,105,RAJASTHAN ROYALS
Shreyas Gopal,AR,20,28,RAJASTHAN ROYALS
Robin Uthappa,BAT,300,422,RAJASTHAN ROYALS
Varun Aaron,BOW,240,338,RAJASTHAN ROYALS
Shashank Singh,AR,30,42,RAJASTHAN ROYALS
Jaydev Unadkat,BOW,300,422,RAJASTHAN ROYALS
Aniruddha Joshi,AR,20,28,RAJASTHAN ROYALS
Rahul Tewatia,BAT,300,422,RAJASTHAN ROYALS
Sanju Samson,BAT/WK,800,1126,RAJASTHAN ROYALS
Andrew Tye,BOW,100,140,RAJASTHAN ROYALS
Manan Vohra,BAT,20,28,RAJASTHAN ROYALS
Tom Curran,AR,100,140,RAJASTHAN ROYALS
Ankit Rajpoot,BOW,300,422,RAJASTHAN ROYALS
Jofra Archer,AR,720,1014,RAJASTHAN ROYALS
Mahipal Lomror,AR,20,28,RAJASTHAN ROYALS
Oshane Thomas,BOW,50,70,RAJASTHAN ROYALS
Rahul Chahar,BOW,190,267,MUMBAI INDIANS
Anukul Roy,AR,20,28,MUMBAI INDIANS
Mohsin Khan,BOW,20,28,MUMBAI INDIANS
Digvijay Deshmukh,AR,20,28,MUMBAI INDIANS
Prince Balwant Rai Singh,AR,20,28,MUMBAI INDIANS
Kieron Pollard,AR,540,760,MUMBAI INDIANS
Nathan Coulter-Nile,BOW,800,1126,MUMBAI INDIANS
Trent Boult,BOW,320,450,MUMBAI INDIANS
Dhawal Kulkarni,BOW,75,105,MUMBAI INDIANS
Mitchell McClenaghan,BOW,100,140,MUMBAI INDIANS
Chris Lynn,BAT,200,281,MUMBAI INDIANS
Aditya Tare,BAT/WK,20,28,MUMBAI INDIANS
Rohit Sharma,BAT,1500,2112,MUMBAI INDIANS
Saurabh Tiwary,BAT,50,70,MUMBAI INDIANS
Quinton de Kock,BAT/WK,280,394,MUMBAI INDIANS
Suryakumar Yadav,BAT,320,450,MUMBAI INDIANS
Jayant Yadav,AR,50,70,MUMBAI INDIANS
Krunal Pandya,AR,880,1239,MUMBAI INDIANS
Lasith Malinga,BOW,200,281,MUMBAI INDIANS
Hardik Pandya,AR,1100,1549,MUMBAI INDIANS
Jaspllt Bumrah,BOW,700,985,MUMBAI INDIANS
Ishan Kishan,BAT/WK,620,873,MUMBAI INDIANS
Anmolpreet Singh,BAT,80,112,MUMBAI INDIANS
Sherfane Rutherford,AR,200,281,MUMBAI INDIANS
Sanjay Yadav,AR,20,28,SUNRISERS HYDERABAD
Priyam Garg,BAT,190,267,SUNRISERS HYDERABAD
Abhishek Sharma,AR,55,77,SUNRISERS HYDERABAD
Abdul Samad,AR,20,28,SUNRISERS HYDERABAD
David Warner,BAT,1250,1760,SUNRISERS HYDERABAD
Mohammad Nabi,AR,100,140,SUNRISERS HYDERABAD
Mitchell Marsh,AR,200,281,SUNRISERS HYDERABAD
Kane Williamson,BAT,300,422,SUNRISERS HYDERABAD
Wriddhiman Saha,BAT/WK,120,169,SUNRISERS HYDERABAD
Manish Pandey,BAT,1100,1549,SUNRISERS HYDERABAD
Jonny Bairstow,BAT/WK,220,309,SUNRISERS HYDERABAD
Shreevats Goswami,BAT/WK,100,140,SUNRISERS HYDERABAD
Shahbaz Nadeem,BOW,320,450,SUNRISERS HYDERABAD
Bhuvneshwar Kumar,BOW,850,1197,SUNRISERS HYDERABAD
Siddarth Kaul,BOW,380,535,SUNRISERS HYDERABAD
Bavanaka Sandeep,AR,20,28,SUNRISERS HYDERABAD
Sandeep Sharma,BOW,300,422,SUNRISERS HYDERABAD
Vijay Shankar,AR,320,450,SUNRISERS HYDERABAD
Billy Stanlake,BOW,50,70,SUNRISERS HYDERABAD
Fabian Allen,AR,50,70,SUNRISERS HYDERABAD
Virat Singh,BAT,190,267,SUNRISERS HYDERABAD
Basil Thampi,BOW,95,133,SUNRISERS HYDERABAD
Rashid Khan,BOW,900,1267,SUNRISERS HYDERABAD
T Natarajan,BOW,40,56,SUNRISERS HYDERABAD
Khaleel Ahmed,BOW,300,422,SUNRISERS HYDERABAD
