player,position,price_lakhs,price_dollars_thousands,team
Devdutt Padikkal,BAT,20,28,ROYAL CHALLENGERS BANGALORE
Joshua Philippe,BAT/WK,20,28,ROYAL CHALLENGERS BANGALORE
Shahbaz Ahamad,BAT/WK,20,28,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1700,2394,ROYAL CHALLENGERS BANGALORE
Kane Richardson,BOW,400,563,ROYAL CHALLENGERS BANGALORE
Parthiv Patel,BAT/WK,170,239,ROYAL CHALLENGERS BANGALORE
Isuru Udana,AR,50,70,ROYAL CHALLENGERS BANGALORE
Umesh Yadav,BOW,420,591,ROYAL CHALLENGERS BANGALORE
Pavan Deshpande,AR,20,28,ROYAL CHALLENGERS BANGALORE
Yuzvendra Chahal,BOW,600,845,ROYAL CHALLENGERS BANGALORE
Chris Morris,AR,1000,1408,ROYAL CHALLENGERS BANGALORE
AB de Villiers,BAT,1100,1549,ROYAL CHALLENGERS BANGALORE
Dale Steyn,BOW,200,281,ROYAL CHALLENGERS BANGALORE
Pawan Negi,AR,100,140,ROYAL CHALLENGERS BANGALORE
Aaron Finch,BAT,440,619,ROYAL CHALLENGERS BANGALORE
Gurkeerat Singh Mann,AR,50,70,ROYAL CHALLENGERS BANGALORE
Navdeep Saini,BOW,300,422,ROYAL CHALLENGERS BANGALORE
Shivam Dube,AR,500,704,ROYAL CHALLENGERS BANGALORE
Washington Sundar,AR,320,450,ROYAL CHALLENGERS BANGALORE
Moeen Ali,AR,170,239,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj,BOW,260,366,ROYAL CHALLENGERS BANGALORE
Shubman Gill,BAT,180,253,KOLKATA KNIGHT RIDERS
Kamlesh Nagarkoti ,AR,320,450,KOLKATA KNIGHT RIDERS
Shivam Mavi,AR,300,422,KOLKATA KNIGHT RIDERS
Varun Chakravathy,AR,400,563,KOLKATA KNIGHT RIDERS
M Sidharth,BOW,20,28,KOLKATA KNIGHT RIDERS
Sunil Narine,BOW,1250,1760,KOLKATA KNIGHT RIDERS
Harry Gurney,BOW,75,105,KOLKATA KNIGHT RIDERS
Eoin Morgan,BAT,525,739,KOLKATA KNIGHT RIDERS
Andre Russell,AR,850,1197,KOLKATA KNIGHT RIDERS
Dinesh Karthik,BAT/WK,740,1042,KOLKATA KNIGHT RIDERS
Siddhesh Lad,BAT,20,28,KOLKATA KNIGHT RIDERS
Rahul Tripathi,BAT,60,84,KOLKATA KNIGHT RIDERS
Pat Cummins,AR,1550,2183,KOLKATA KNIGHT RIDERS
Lockie Ferguson,BOW,160,225,KOLKATA KNIGHT RIDERS
Nikhil Naik,BAT/WK,20,28,KOLKATA KNIGHT RIDERS
Kuldeep Yadav,BOW,580,816,KOLKATA KNIGHT RIDERS
Pravin Tambe,BOW,20,28,KOLKATA KNIGHT RIDERS
Sandeep Warrier,BOW,20,28,KOLKATA KNIGHT RIDERS
Nitish Rana,AR,340,478,KOLKATA KNIGHT RIDERS
Rinku Singh,BAT,80,112,KOLKATA KNIGHT RIDERS
Chris Green,AR,20,28,KOLKATA KNIGHT RIDERS
Tom Banton,BAT,100,140,KOLKATA KNIGHT RIDERS
Prasidh Krishna,BOW,20,28,KOLKATA KNIGHT RIDERS
Tajinder Dhillon,AR,20,28,PUNJAB KINGS
Darshan Nalkande,AR,30,42,PUNJAB KINGS
Arshdeep Singh,BOW,20,28,PUNJAB KINGS
Prabhsimran Singh,BAT/WK,55,77,PUNJAB KINGS
Harpreet Brar,AR,20,28,PUNJAB KINGS
Ravi Bishnoi,BOW,200,281,PUNJAB KINGS
Chris Jordan,AR,300,422,PUNJAB KINGS
Glenn Maxwell,AR,1075,1514,PUNJAB KINGS
James Neesham,AR,50,70,PUNJAB KINGS
Hardus Viljoen,BOW,75,105,PUNJAB KINGS
Mayank Agarwal,BAT,100,140,PUNJAB KINGS
Karun Nair,BAT,560,788,PUNJAB KINGS
Mandeep Singh,BAT,140,197,PUNJAB KINGS
KL Rahul,BAT/WK,1100,1549,PUNJAB KINGS
K Gowtham,AR,620,873,PUNJAB KINGS
Mohammed Shami,BOW,480,676,PUNJAB KINGS
Sheldon Cottrell,BOW,850,1197,PUNJAB KINGS
Deepak Hooda,AR,50,70,PUNJAB KINGS
Chris Gayle,BAT,200,281,PUNJAB KINGS
J Suchith,BOW,20,28,PUNJAB KINGS
Murugan Ashwin,BOW,20,28,PUNJAB KINGS
Nicholas Pooran,BAT/WK,420,591,PUNJAB KINGS
Saiaraz Khan,BAT,25,35,PUNJAB KINGS
Ishan Porel,BOW,20,28,PUNJAB KINGS
Mujeeb Ur Rahman,BOW,400,563,PUNJAB KINGS
Ravisrinivasan Sai Kishore,BOW,20,28,CHENNAI SUPER KINGS
Narayan Jagadeesan,BAT/WK,20,28,CHENNAI SUPER KINGS
Ruturaj Gaikwad,BAT,20,28,CHENNAI SUPER KINGS
KM Asif,BOW,40,56,CHENNAI SUPER KINGS
Ravindra Jadeja,AR,700,985,CHENNAI SUPER KINGS
M Vijay,BAT,200,281,CHENNAI SUPER KINGS
MS Dhoni,BAT/WK,1500,2112,CHENNAI SUPER KINGS
Josh Hazlewood,BOW,200,281,CHENNAI SUPER KINGS
Kedar Jadhav,AR,780,1098,CHENNAI SUPER KINGS
Harbhajan Singh,BOW,200,281,CHENNAI SUPER KINGS
Karn Sharma,BOW,500,704,CHENNAI SUPER KINGS
Piyush Chawla,BOW,675,950,CHENNAI SUPER KINGS
Ambati Rayudu,BAT/WK,220,309,CHENNAI SUPER KINGS
Suresh Raina,BAT,1100,1549,CHENNAI SUPER KINGS
Imran Tahir,BOW,100,140,CHENNAI SUPER KINGS
Deepak Chahar,AR,80,112,CHENNAI SUPER KINGS
Faf du Plessis,BAT,160,225,CHENNAI SUPER KINGS
Shardul Thakur,BOW,260,366,CHENNAI SUPER KINGS
Mitchell Santner,AR,50,70,CHENNAI SUPER KINGS
Dwayne Bravo,AR,640,901,CHENNAI SUPER KINGS
Lungi Ngidi,BOW,50,70,CHENNAI SUPER KINGS
Sam Curran,AR,550,774,CHENNAI SUPER KINGS
Monu Kumar,BOW,20,28,CHENNAI SUPER KINGS
Shane Watson,AR,400,563,CHENNAI SUPER KINGS
Prithvi Shaw,BAT,120,169,DELHI CAPITALS
Ishant Sharma,BOW,110,154,DELHI CAPITALS
Chris Woakes,AR,150,211,DELHI CAPITALS
R Ashwin,AR,760,1070,DELHI CAPITALS
