details,team
Mitchell Marsh AR 650 792,DELHI CAPITALS
Anrich Nortje BOW 650 792,DELHI CAPITALS
David Warner BAT 625 762,DELHI CAPITALS
Mukesh Kumar BOW 550 670,DELHI CAPITALS
Khaleel Ahmed BOW 525 640,DELHI CAPITALS
Rilee Rossouw BAT 460 560,DELHI CAPITALS
Chetan Sakariya BOW 420 512,DELHI CAPITALS
Rovman Powell BAT 280 341,DELHI CAPITALS
Manish Pandey BAT 240 292,DELHI CAPITALS
Mustafizur Rahman BOW 200 243,DELHI CAPITALS
Kuldeep Yadav BOW 200 243,DELHI CAPITALS
Phil Salt BAT/WK 200 243,DELHI CAPITALS
Kamlesh Nagarkoti AR 110 134,DELHI CAPITALS
Lalit Yadav AR 65 79,DELHI CAPITALS
Yash Dhull AR 50 60,DELHI CAPITALS
Ishant Sharma BOW 50 60,DELHI CAPITALS
Lungi Ngidi BOW 50 60,DELHI CAPITALS
Praveen Dubey AR 50 60,DELHI CAPITALS
Ripal Patel AR 20 24,DELHI CAPITALS
Aman Khan AR 20 24,DELHI CAPITALS
Vicky Ostwal AR 20 24,DELHI CAPITALS
Sarfaraz Khan AR 20 24,DELHI CAPITALS
Sanju Samson BAT/WK 1400 1707,RAJASTHAN ROYALS
Jos Buttler BAT/WK 1000 1219,RAJASTHAN ROYALS
Prasidh Krishna BOW 1000 1219,RAJASTHAN ROYALS
Shimron Hetmyer BAT 850 1036,RAJASTHAN ROYALS
Trent Boult BOW 800 975,RAJASTHAN ROYALS
Devdutt Padikkal BAT 775 945,RAJASTHAN ROYALS
Yuzvendra Chahal BOW 650 792,RAJASTHAN ROYALS
Jason Holder AR 575 701,RAJASTHAN ROYALS
R Ashwin AR 500 609,RAJASTHAN ROYALS
Yashasvi Jaiswal AR 400 487,RAJASTHAN ROYALS
Riyan Parag AR 380 463,RAJASTHAN ROYALS
Navdeep Saini BOW 260 317,RAJASTHAN ROYALS
Adam Zampa BOW 150 182,RAJASTHAN ROYALS
Joe Root BAT 100 121,RAJASTHAN ROYALS
Obed McCoy BOW 75 91,RAJASTHAN ROYALS
Donovan Ferreira BAT/WK 50 60,RAJASTHAN ROYALS
KM Asif BOW 30 36,RAJASTHAN ROYALS
KC Cariappa BOW 30 36,RAJASTHAN ROYALS
Kuldeep Sen BOW 20 24,RAJASTHAN ROYALS
Dhruv Jurel BAT/WK 20 24,RAJASTHAN ROYALS
Kuldip Yadav BOW 20 24,RAJASTHAN ROYALS
Abdul Basith AR 20 24,RAJASTHAN ROYALS
Kunal Singh Rathore BAT/WK 20 24,RAJASTHAN ROYALS
Murugan Ashwin BOW 20 24,RAJASTHAN ROYALS
Akash Vashisht AR 20 24,RAJASTHAN ROYALS
Cameron Green AR 1750 2134,MUMBAI INDIANS
Rohit Sharma BAT 1600 1951,MUMBAI INDIANS
Ishan Kishan BAT/WK 1525 1859,MUMBAI INDIANS
Jasprit Bumrah BOW 1200 1463,MUMBAI INDIANS
Tim David AR 825 1006,MUMBAI INDIANS
Suryakumar Yadav BAT 800 975,MUMBAI INDIANS
Jofra Archer AR 800 975,MUMBAI INDIANS
Dewald Brevis BAT 300 365,MUMBAI INDIANS
Tilak Varma AR 170 207,MUMBAI INDIANS
Jhye Richardson BOW 150 182,MUMBAI INDIANS
Jason Behrendorff BOW 75 91,MUMBAI INDIANS
Piyush Chawla BOW 50 60,MUMBAI INDIANS
Arjun Tendulkar AR 30 36,MUMBAI INDIANS
Ramandeep Singh AR 20 24,MUMBAI INDIANS
Shams Mulani AR 20 24,MUMBAI INDIANS
Nehal Wadhera AR 20 24,MUMBAI INDIANS
Kumar Kartikeya BOW 20 24,MUMBAI INDIANS
Hrithik Shokeen AR 20 24,MUMBAI INDIANS
Akash Madhwal BOW 20 24,MUMBAI INDIANS
Arshad Khan AR 20 24,MUMBAI INDIANS
Raghav Goyal BOW 20 24,MUMBAI INDIANS
Duan Jansen AR 20 24,MUMBAI INDIANS
Tristan Stubbs BAT/WK 20 24,MUMBAI INDIANS
Vishnu Vinod BAT/WK 20 24,MUMBAI INDIANS
Harry Brook BAT 1325 1615,SUNRISERS HYDERABAD
Washington Sundar AR 875 1067,SUNRISERS HYDERABAD
Rahul Tripathi BAT 850 1036,SUNRISERS HYDERABAD
Mayank Agarwal BAT 825 1006,SUNRISERS HYDERABAD
Abhishek Sharma AR 650 792,SUNRISERS HYDERABAD
Heinrich Klaasen BAT/WK 525 640,SUNRISERS HYDERABAD
Bhuvneshwar Kumar BOW 420 512,SUNRISERS HYDERABAD
Marco Jansen AR 420 512,SUNRISERS HYDERABAD
Kartik Tyagi BOW 400 487,SUNRISERS HYDERABAD
Abdul Samad AR 400 487,SUNRISERS HYDERABAD
Umran Malik BOW 400 487,SUNRISERS HYDERABAD
T Natarajan BOW 400 487,SUNRISERS HYDERABAD
Vivrant Sharma AR 260 317,SUNRISERS HYDERABAD
Aiden Markram BAT 260 317,SUNRISERS HYDERABAD
Adil Rashid BOW 200 243,SUNRISERS HYDERABAD
Mayank Dagar AR 180 219,SUNRISERS HYDERABAD
Glenn Phillips BAT/WK 150 182,SUNRISERS HYDERABAD
Akeal Hosein BOW 100 121,SUNRISERS HYDERABAD
Mayank Markande BOW 50 60,SUNRISERS HYDERABAD
Fazalhaq Farooqi BOW 50 60,SUNRISERS HYDERABAD
