player,position,price_lakhs,price_dollars_thousands,team
Kulwant Khejroliya,BOW,85,118,ROYAL CHALLENGERS BANGALORE
Devdutt Padikkal,BAT,20,27,ROYAL CHALLENGERS BANGALORE
Prayas Ray Barman,AR,150,208,ROYAL CHALLENGERS BANGALORE
Tim Southee,BOW,100,138,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1700,2361,ROYAL CHALLENGERS BANGALORE
Nathan Coulter-Nile,BOW,220,305,ROYAL CHALLENGERS BANGALORE
Parthiv Patel,BAT/WK,170,236,ROYAL CHALLENGERS BANGALORE
Marcus Stoinis,AR,620,861,ROYAL CHALLENGERS BANGALORE
Umesh Yadav,BOW,420,583,ROYAL CHALLENGERS BANGALORE
Yuzvendra Chahal,BOW,600,833,ROYAL CHALLENGERS BANGALORE
Heinrich Klaasen,BAT/WK,50,69,ROYAL CHALLENGERS BANGALORE
AB de Villiers,BAT,1100,1527,ROYAL CHALLENGERS BANGALORE
Milind Kumar,AR,20,27,ROYAL CHALLENGERS BANGALORE
Akshdeep Nath,AR,360,500,ROYAL CHALLENGERS BANGALORE
Pawan Negi,AR,100,138,ROYAL CHALLENGERS BANGALORE
Gurkeerat Singh Mann,AR,50,69,ROYAL CHALLENGERS BANGALORE
Colin de Grandhomme,AR,220,305,ROYAL CHALLENGERS BANGALORE
Shimron Hetmyer,BAT,420,583,ROYAL CHALLENGERS BANGALORE
Navdeep Saini,BOW,300,416,ROYAL CHALLENGERS BANGALORE
Shivam Dube,AR,500,694,ROYAL CHALLENGERS BANGALORE
Washington Sundar,AR,320,444,ROYAL CHALLENGERS BANGALORE
Himmat Singh,BAT,65,90,ROYAL CHALLENGERS BANGALORE
Moeen Ali,AR,170,236,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj,BOW,260,361,ROYAL CHALLENGERS BANGALORE
Shubman Gill,BAT,180,250,KOLKATA KNIGHT RIDERS
Kamlesh Nagarkoti,AR,320,444,KOLKATA KNIGHT RIDERS
