player,position,price_lakhs,price_dollars_thousands,team
Midhun S,AR,20,31,RAJASTHAN ROYALS
Stuart Binny,AR,50,78,RAJASTHAN ROYALS
Ajinkya Rahane,BAT,400,625,RAJASTHAN ROYALS
Dhawal Kulkarni,BOW,75,117,RAJASTHAN ROYALS
Darcy Short,AR,400,625,RAJASTHAN ROYALS
Jos Buttler,WK,440,687,RAJASTHAN ROYALS
Ben Stokes,AR,1250,1953,RAJASTHAN ROYALS
Ben Laughlin,BOW,50,78,RAJASTHAN ROYALS
Jatin Saxena,AR,20,31,RAJASTHAN ROYALS
Shreyas Gopal,AR,20,31,RAJASTHAN ROYALS
Anureet Singh,BOW,30,46,RAJASTHAN ROYALS
Jaydev Unadkat,BOW,1150,1796,RAJASTHAN ROYALS
Ankit Sharma,AR,20,31,RAJASTHAN ROYALS
Gowtham Krishnappa,BOW,620,968,RAJASTHAN ROYALS
Sanju Samson,WK,800,1250,RAJASTHAN ROYALS
Rahul Tripathi,BAT,340,531,RAJASTHAN ROYALS
Prashant Chopra,WK,20,31,RAJASTHAN ROYALS
Dushmantha Chameera,BOW,50,78,RAJASTHAN ROYALS
Jofra Archer,AR,720,1125,RAJASTHAN ROYALS
Zahir Khan,BOW,60,93,RAJASTHAN ROYALS
Mahipal Lomror,AR,20,31,RAJASTHAN ROYALS
Steven Smith,BAT,1250,1953,RAJASTHAN ROYALS
Rahul Chahar,BOW,190,296,MUMBAI INDIANS
Anukul Roy,AR,20,31,MUMBAI INDIANS
Tajinder Singh,AR,55,85,MUMBAI INDIANS
Mayank Markande,BOW,20,31,MUMBAI INDIANS
Mohsin Khan,BOW,20,31,MUMBAI INDIANS
Ben Cutting,AR,220,343,MUMBAI INDIANS
Kieron Pollard,AR,540,843,MUMBAI INDIANS
Jason Behrendorff,BOW,150,234,MUMBAI INDIANS
Pradeep Sangwan,BOW,150,234,MUMBAI INDIANS
Mustafizur Rahman,BOW,220,343,MUMBAI INDIANS
Aditya Tare,WK,20,31,MUMBAI INDIANS
Saurabh Tiwary,BAT,80,125,MUMBAI INDIANS
Siddhesh Lad,BAT,20,31,MUMBAI INDIANS
Evin Lewis,BAT,380,593,MUMBAI INDIANS
Suryakumar Yadav,BAT,320,500,MUMBAI INDIANS
JP Duminy,AR,100,156,MUMBAI INDIANS
Krunal Pandya,AR,880,1375,MUMBAI INDIANS
Pat Cummins,BOW,540,843,MUMBAI INDIANS
Akila Dananlaya,BOW,50,78,MUMBAI INDIANS
Ishan Kishan,WK,620,968,MUMBAI INDIANS
Sharad Lumba,BAT,20,31,MUMBAI INDIANS
MD Nidheesh,BOW,20,31,MUMBAI INDIANS
Rohit Sharma,BAT,1500,2343,MUMBAI INDIANS
Hardik Pandya,AR,1100,1718,MUMBAI INDIANS
Jasprit Bumrah,BOW,700,1093,MUMBAI INDIANS
Mohammad Nabi,AR,100,156,SUNRISERS HYDERABAD
Kane Williamson,BAT,300,468,SUNRISERS HYDERABAD
Wriddhiman Saha,WK,500,781,SUNRISERS HYDERABAD
Shikhar Dhawan,BAT,520,812,SUNRISERS HYDERABAD
Chris Jordan,AR,100,156,SUNRISERS HYDERABAD
Manish Pandey,BAT,1100,1718,SUNRISERS HYDERABAD
Shreevats Goswami,WK,100,156,SUNRISERS HYDERABAD
Yusuf Pathan,AR,190,296,SUNRISERS HYDERABAD
Siddarth Kaul,BOW,380,593,SUNRISERS HYDERABAD
Bipul Sharma,AR,20,31,SUNRISERS HYDERABAD
Sachin Baby,BAT,20,31,SUNRISERS HYDERABAD
Sandeep Sharma,BOW,300,468,SUNRISERS HYDERABAD
Carlos Brathwaite,AR,200,312,SUNRISERS HYDERABAD
Mehdi Hasan,AR,20,31,SUNRISERS HYDERABAD
Deepak Hooda,AR,360,562,SUNRISERS HYDERABAD
Billy Stanlake,BOW,50,78,SUNRISERS HYDERABAD
Shakib Al Hasan,AR,200,312,SUNRISERS HYDERABAD
Ricky Bhui,BAT,20,31,SUNRISERS HYDERABAD
Basil Thampi,BOW,95,148,SUNRISERS HYDERABAD
Tanmay Agarwal,BAT,20,31,SUNRISERS HYDERABAD
Rashid Khan,BOW,900,1406,SUNRISERS HYDERABAD
T Natarajan,BOW,40,62,SUNRISERS HYDERABAD
Syed Khaleel Ahmed,BOW,300,468,SUNRISERS HYDERABAD
David Warner,BAT,1250,1953,SUNRISERS HYDERABAD
Bhuvneshwar Kumar,BOW,850,1328,SUNRISERS HYDERABAD
