player,position,price_lakhs,price_dollars_thousands,team
Kulwant Khejroliya,BOW,85,132,ROYAL CHALLENGERS BANGALORE
Tim Southee,BOW,100,156,ROYAL CHALLENGERS BANGALORE
Chris Woakes,AR,740,1156,ROYAL CHALLENGERS BANGALORE
Nathan Coulter-Nile,BOW,220,343,ROYAL CHALLENGERS BANGALORE
Parthiv Patel,WK,170,265,ROYAL CHALLENGERS BANGALORE
Umesh Yadav,BOW,420,656,ROYAL CHALLENGERS BANGALORE
Brendon McCullum,BAT,360,562,ROYAL CHALLENGERS BANGALORE
Quinton de Kock,WK,280,437,ROYAL CHALLENGERS BANGALORE
Mandeep Singh,BAT,140,218,ROYAL CHALLENGERS BANGALORE
Aniruddha Joshi,AR,20,31,ROYAL CHALLENGERS BANGALORE
Pavan Deshpande,AR,20,31,ROYAL CHALLENGERS BANGALORE
Yuzvendra Chahal,BOW,600,937,ROYAL CHALLENGERS BANGALORE
Aniket Choudhary,BOW,30,46,ROYAL CHALLENGERS BANGALORE
Murugan Ashwin,BOW,220,343,ROYAL CHALLENGERS BANGALORE
Pawan Negi,AR,100,156,ROYAL CHALLENGERS BANGALORE
Manan Vohra,BAT,110,171,ROYAL CHALLENGERS BANGALORE
Colin de Grandhomme,AR,220,343,ROYAL CHALLENGERS BANGALORE
Navdeep Saini,BOW,300,468,ROYAL CHALLENGERS BANGALORE
Washington Sundar,AR,320,500,ROYAL CHALLENGERS BANGALORE
Moeen Ali,AR,170,265,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj,BOW,260,406,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1700,2656,ROYAL CHALLENGERS BANGALORE
AB de Villiers,BAT,1100,1718,ROYAL CHALLENGERS BANGALORE
Sarfaraz Khan,BAT,300,468,ROYAL CHALLENGERS BANGALORE
Shubman Gill,BAT,180,281,KOLKATA KNIGHT RIDERS
Kamlesh Nagarkoti,AR,320,500,KOLKATA KNIGHT RIDERS
Shivam Mavi,AR,300,468,KOLKATA KNIGHT RIDERS
Javon Searles,AR,30,46,KOLKATA KNIGHT RIDERS
Ishank Jaggi,BAT,20,31,KOLKATA KNIGHT RIDERS
Dinesh Karthik,WK,740,1156,KOLKATA KNIGHT RIDERS
Mitchell Starc,BOW,940,1468,KOLKATA KNIGHT RIDERS
Cameron Delport,AR,30,46,KOLKATA KNIGHT RIDERS
Chris Lynn,BAT,960,1500,KOLKATA KNIGHT RIDERS
Piyush Chawla,BOW,420,656,KOLKATA KNIGHT RIDERS
Robin Uthappa,WK,640,1000,KOLKATA KNIGHT RIDERS
Vinay Kumar,BOW,100,156,KOLKATA KNIGHT RIDERS
Apoorv Wankhade,BAT,20,31,KOLKATA KNIGHT RIDERS
Kuldeep Yadav,BOW,580,906,KOLKATA KNIGHT RIDERS
Mitchell Johnson,BOW,200,312,KOLKATA KNIGHT RIDERS
Nitish Rana,AR,340,531,KOLKATA KNIGHT RIDERS
Rinku Singh,BAT,80,125,KOLKATA KNIGHT RIDERS
Sunil Narine,BOW,1250,1953,KOLKATA KNIGHT RIDERS
Andre Russell,AR,850,1328,KOLKATA KNIGHT RIDERS
Manzoor Dar,AR,20,31,PUNJAB KINGS
R Ashwin,AR,760,1187,PUNJAB KINGS
David Miller,BAT,300,468,PUNJAB KINGS
Marcus Stoinis,AR,620,968,PUNJAB KINGS
Pardeep Sahu,BOW,20,31,PUNJAB KINGS
Manoj Tiwary,BAT,100,156,PUNJAB KINGS
Yuvraj Singh,AR,200,312,PUNJAB KINGS
Mayank Agarwal,BAT,100,156,PUNJAB KINGS
Karun Nair,BAT,560,875,PUNJAB KINGS
KL Rahul,BAT,1100,1718,PUNJAB KINGS
Andrew Tye,BOW,720,1125,PUNJAB KINGS
Akshdeep Nath,AR,100,156,PUNJAB KINGS
Chris Gayle,BAT,200,312,PUNJAB KINGS
Aaron Finch,BAT,620,968,PUNJAB KINGS
Mohit Sharma,BOW,240,375,PUNJAB KINGS
Barinder Sran,BOW,220,343,PUNJAB KINGS
Ankit Rajpoot,BOW,300,468,PUNJAB KINGS
Ben Dwarshuis,BOW,140,218,PUNJAB KINGS
Mayank Dagar,AR,20,31,PUNJAB KINGS
Mujeeb Zadran,BOW,400,625,PUNJAB KINGS
Axar Patel,AR,1250,1953,PUNJAB KINGS
Jagadeesan Narayan,WK,20,31,CHENNAI SUPER KINGS
Asif KM,BOW,40,62,CHENNAI SUPER KINGS
M Vijay,BAT,200,312,CHENNAI SUPER KINGS
Kedar Jadhav,AR,780,1218,CHENNAI SUPER KINGS
Harbhajan Singh,BOW,200,312,CHENNAI SUPER KINGS
Sam Billings,WK,100,156,CHENNAI SUPER KINGS
Karn Sharma,BOW,500,781,CHENNAI SUPER KINGS
Ambati Rayudu,WK,220,343,CHENNAI SUPER KINGS
Mark Wood,BOW,150,234,CHENNAI SUPER KINGS
Imran Tahir,BOW,100,156,CHENNAI SUPER KINGS
Deepak Chahar,AR,80,125,CHENNAI SUPER KINGS
Faf du Plessis,BAT,160,250,CHENNAI SUPER KINGS
Shardul Thakur,BOW,260,406,CHENNAI SUPER KINGS
Mitchell Santner,AR,50,78,CHENNAI SUPER KINGS
Dwayne Bravo,AR,640,1000,CHENNAI SUPER KINGS
Lungi Ngidi,BOW,50,78,CHENNAI SUPER KINGS
Dhruv Shorey,AR,20,31,CHENNAI SUPER KINGS
Kshitiz Sharma,AR,20,31,CHENNAI SUPER KINGS
Chaitanya Bishnoi,AR,20,31,CHENNAI SUPER KINGS
Monu Kumar,BOW,20,31,CHENNAI SUPER KINGS
Shane Watson,AR,400,625,CHENNAI SUPER KINGS
Kanishk Seth,AR,20,31,CHENNAI SUPER KINGS
Ravindra Jadeja,AR,700,1093,CHENNAI SUPER KINGS
MS Dhoni *,WK,1500,2343,CHENNAI SUPER KINGS
Suresh Raina,BAT,1100,1718,CHENNAI SUPER KINGS
Prithvi Shaw,BAT,120,187,DELHI DAREDEVILS
Abhishek Sharma,AR,55,85,DELHI DAREDEVILS
Manjot Kalra,BAT,20,31,DELHI DAREDEVILS
Colin Munro,AR,190,296,DELHI DAREDEVILS
Trent Boult,BOW,220,343,DELHI DAREDEVILS
Gautam Gambhir,BAT,280,437,DELHI DAREDEVILS
Jason Roy,BAT,150,234,DELHI DAREDEVILS
Amit Mishra,BOW,400,625,DELHI DAREDEVILS
Shallbaz Nadeem,BOW,320,500,DELHI DAREDEVILS
Naman Ojha,WK,140,218,DELHI DAREDEVILS
Glenn Maxwell,AR,900,1406,DELHI DAREDEVILS
Harshal Patel,AR,20,31,DELHI DAREDEVILS
Rahul Tewatia,AR,300,468,DELHI DAREDEVILS
Jayant Yadav,AR,50,78,DELHI DAREDEVILS
Vijay Shankar,AR,320,500,DELHI DAREDEVILS
Mohammed Shami,BOW,300,468,DELHI DAREDEVILS
Daniel Christian,AR,150,234,DELHI DAREDEVILS
Gurkeerat Singh,AR,75,117,DELHI DAREDEVILS
Kagiso Rabada,BOW,420,656,DELHI DAREDEVILS
Avesh Khan,BOW,70,109,DELHI DAREDEVILS
Sayan Ghosh,BOW,20,31,DELHI DAREDEVILS
Sandeep Lamichhane,BOW,20,31,DELHI DAREDEVILS
Chris Morris,AR,1100,1718,DELHI DAREDEVILS
Shreyas lyer,BAT,700,1093,DELHI DAREDEVILS
Rishabh Pant,WK,1500,2343,DELHI DAREDEVILS
Aryaman Birla,AR,30,46,RAJASTHAN ROYALS
