player,position,price_lakhs,price_dollars_thousands,team
Mustafizur Rahman,BOW,140,208,SUNRISERS HYDERABAD
Bipul Sharma,BOW,10,14,SUNRISERS HYDERABAD
Yuvraj Singh,AR,700,1044,SUNRISERS HYDERABAD
Vijay Shankar,AR,35,52,SUNRISERS HYDERABAD
Deepak Hooda,BAT,420,626,SUNRISERS HYDERABAD
Barinder Sran,BOW,120,179,SUNRISERS HYDERABAD
Moises Henriques,AR,100,149,SUNRISERS HYDERABAD
Ricky Bhui,BAT,10,14,SUNRISERS HYDERABAD
Rahul Chahar,BOW,10,14,RISING PUNE SUPERGIANTS
Ben Stokes,AR,1450,2164,RISING PUNE SUPERGIANTS
Manoj Tiwary,BAT,50,74,RISING PUNE SUPERGIANTS
Jaydev Unadkat,BOW,30,44,RISING PUNE SUPERGIANTS
Rahul Tripathi,AR,10,14,RISING PUNE SUPERGIANTS
Dan Christian,AR,100,149,RISING PUNE SUPERGIANTS
Lockie Ferguson,BOW,50,74,RISING PUNE SUPERGIANTS
Saurabh Kumar,BOW,10,14,RISING PUNE SUPERGIANTS
Milind Tandon,AR,10,14,RISING PUNE SUPERGIANTS
Usman Khawaja,BAT,100,149,RISING PUNE SUPERGIANTS
Ashok Dinda,BOW,50,74,RISING PUNE SUPERGIANTS
R Ashwin,BOW,750,1119,RISING PUNE SUPERGIANTS
Steven Smith,BAT,550,820,RISING PUNE SUPERGIANTS
Rajat Bhatia,BOW,60,89,RISING PUNE SUPERGIANTS
Mitchell Marsh,AR,480,716,RISING PUNE SUPERGIANTS
Ajinkya Rahane,BAT,950,1417,RISING PUNE SUPERGIANTS
MS Dhoni,WK,1250,1865,RISING PUNE SUPERGIANTS
Adam Zampa,BOW,30,44,RISING PUNE SUPERGIANTS
Mayank Agarwal,BAT,160,238,RISING PUNE SUPERGIANTS
Ankit Sharma,BOW,10,14,RISING PUNE SUPERGIANTS
Deepak Chahar,BOW,10,14,RISING PUNE SUPERGIANTS
Ishwar Pandey,BOW,20,29,RISING PUNE SUPERGIANTS
Faf du Plessis,BAT,400,597,RISING PUNE SUPERGIANTS
Baba Aparalith,BAT,10,14,RISING PUNE SUPERGIANTS
Jaskaran Singh,BOW,10,14,RISING PUNE SUPERGIANTS
Ankush Bains,WK,10,14,RISING PUNE SUPERGIANTS
Shubham Agarwal,AR,10,14,GUJARAT LIONS
Tejas Baroka,BOW,10,14,GUJARAT LIONS
Pratham Singh,AR,10,14,GUJARAT LIONS
Jason Roy,BAT,100,149,GUJARAT LIONS
Manpreet Gony,BOW,60,89,GUJARAT LIONS
Munaf Patel,BOW,30,44,GUJARAT LIONS
Akshdeep Nath,AR,10,14,GUJARAT LIONS
Chirag Suri,BAT,10,14,GUJARAT LIONS
Shelley Shaurya,BOW,10,14,GUJARAT LIONS
Basil Thampi,BOW,85,126,GUJARAT LIONS
Nathu Singh,BOW,50,74,GUJARAT LIONS
Ravindra Jadela,AR,950,1417,GUJARAT LIONS
James Faulkner,AR,750,1119,GUJARAT LIONS
Dhawal Kulkarni,BOW,200,298,GUJARAT LIONS
Pradeep Sangwan,BOW,20,29,GUJARAT LIONS
Shadab Jakati,BOW,20,29,GUJARAT LIONS
Dinesh Karthik,WK,230,343,GUJARAT LIONS
Praveen Kumar,BOW,350,522,GUJARAT LIONS
Suresh Raina,BAT,1250,1865,GUJARAT LIONS
Jaydev Shah,BAT,20,29,GUJARAT LIONS
Brendon McCullum,BAT,550,820,GUJARAT LIONS
Andrew Tye,BOW,50,74,GUJARAT LIONS
Dwayne Bravo,AR,400,597,GUJARAT LIONS
Dwayne Smith,AR,230,343,GUJARAT LIONS
Aaron Finch,BAT,100,149,GUJARAT LIONS
Ishan Kishan,WK,35,52,GUJARAT LIONS
Shivil Kaushik,BOW,10,14,GUJARAT LIONS
