player,position,price_lakhs,price_dollars_thousands,team
Tymal Mills,BOW,1200,1791,ROYAL CHALLENGERS BANGALORE
Aniket Choudhary,BOW,200,298,ROYAL CHALLENGERS BANGALORE
Pawan Negi,AR,100,149,ROYAL CHALLENGERS BANGALORE
Billy Stanlake,BOW,30,44,ROYAL CHALLENGERS BANGALORE
Praveen Dubey,AR,10,14,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1250,1865,ROYAL CHALLENGERS BANGALORE
Stuart Binny,AR,200,298,ROYAL CHALLENGERS BANGALORE
Iqbal Abdulla,BOW,10,14,ROYAL CHALLENGERS BANGALORE
S Aravind,BOW,10,14,ROYAL CHALLENGERS BANGALORE
Kedar Jadhav,BAT,217,324,ROYAL CHALLENGERS BANGALORE
Tabraiz Shamsi,BOW,10,14,ROYAL CHALLENGERS BANGALORE
Harshal Patel,BOW,40,59,ROYAL CHALLENGERS BANGALORE
Mandeep Singh,BAT,80,119,ROYAL CHALLENGERS BANGALORE
KL Rahul,WK,100,149,ROYAL CHALLENGERS BANGALORE
Yuzvendra Chahal,BOW,10,14,ROYAL CHALLENGERS BANGALORE
Sachin Baby,BAT,10,14,ROYAL CHALLENGERS BANGALORE
AB de Villiers,BAT,950,1417,ROYAL CHALLENGERS BANGALORE
Adam Milne,BOW,10,104,ROYAL CHALLENGERS BANGALORE
Samuel Badree,BOW,50,74,ROYAL CHALLENGERS BANGALORE
Chris Gayle,BAT,750,1119,ROYAL CHALLENGERS BANGALORE
Travis Head,BAT,50,74,ROYAL CHALLENGERS BANGALORE
Sarfaraz Khan,BAT,50,74,ROYAL CHALLENGERS BANGALORE
Avesh Khan,BOW,10,14,ROYAL CHALLENGERS BANGALORE
Shane Watson,AR,950,1417,ROYAL CHALLENGERS BANGALORE
Sanjay Yadav,AR,10,14,KOLKATA KNIGHT RIDERS
Chris Woakes,AR,420,626,KOLKATA KNIGHT RIDERS
Nathan Coulter-Nile,BOW,350,522,KOLKATA KNIGHT RIDERS
Darren Bravo,BAT,50,74,KOLKATA KNIGHT RIDERS
Trent Boult,BOW,500,746,KOLKATA KNIGHT RIDERS
Ishank Jaggi,BAT,10,14,KOLKATA KNIGHT RIDERS
Rishi Dhawan,AR,55,82,KOLKATA KNIGHT RIDERS
Sayan Ghosh,BOW,10,14,KOLKATA KNIGHT RIDERS
Rovman Powell,AR,30,44,KOLKATA KNIGHT RIDERS
Sunil Narine,BOW,950,1417,KOLKATA KNIGHT RIDERS
Sheldon Jackson,BAT,15,22,KOLKATA KNIGHT RIDERS
Andre Russell,AR,60,89,KOLKATA KNIGHT RIDERS
Gautam Gambhir,BAT,1250,1865,KOLKATA KNIGHT RIDERS
Manish Pandey,BAT,170,253,KOLKATA KNIGHT RIDERS
Yusuf Pathan,BAT,325,485,KOLKATA KNIGHT RIDERS
Chris Lynn,BAT,130,194,KOLKATA KNIGHT RIDERS
Piyush Chawla,BOW,425,634,KOLKATA KNIGHT RIDERS
Robin Uthappa,WK,500,746,KOLKATA KNIGHT RIDERS
Umesh Yadav,BOW,260,388,KOLKATA KNIGHT RIDERS
Suryakumar Yadav,BAT,70,104,KOLKATA KNIGHT RIDERS
Kuldeep Yadav,BOW,40,59,KOLKATA KNIGHT RIDERS
Shakib Al Hasan,AR,280,417,KOLKATA KNIGHT RIDERS
Ankit Rajpoot,BOW,150,223,KOLKATA KNIGHT RIDERS
Martin Guptill,BAT,50,74,PUNJAB KINGS
Eoin Morgan,BAT,200,298,PUNJAB KINGS
Varun Aaron,BOW,280,417,PUNJAB KINGS
Rahul Tewatia,AR,25,37,PUNJAB KINGS
Matt Henry,BOW,50,74,PUNJAB KINGS
Darren Sammy,AR,30,44,PUNJAB KINGS
Rinku Singh,BAT,10,14,PUNJAB KINGS
T Natarajan,BOW,300,447,PUNJAB KINGS
Swapnil Singh,AR,10,14,PUNJAB KINGS
M Vijay,BAT,300,447,PUNJAB KINGS
Wriddhiman Saha,WK,220,328,PUNJAB KINGS
David Miller,BAT,1250,1865,PUNJAB KINGS
Marcus Stoinis,AR,55,82,PUNJAB KINGS
Glenn Maxwell,AR,600,895,PUNJAB KINGS
Pardeep Sahu,BOW,10,14,PUNJAB KINGS
Anureet Singh,BOW,20,29,PUNJAB KINGS
Sandeep Sharma,BOW,85,126,PUNJAB KINGS
Hashim Amla,BAT,100,149,PUNJAB KINGS
Shardul Thakur,BOW,20,29,PUNJAB KINGS
Manan Vohra,BAT,400,597,PUNJAB KINGS
Mohit Sharma,BOW,650,970,PUNJAB KINGS
Gurkeerat Singh,BAT,130,194,PUNJAB KINGS
Axar Patel,AR,75,111,PUNJAB KINGS
Nikhil Naik,WK,30,44,PUNJAB KINGS
Shaun Marsh,BAT,220,328,PUNJAB KINGS
KC Cariappa,BOW,80,119,PUNJAB KINGS
Armaan Jaffer,BAT,10,14,PUNJAB KINGS
Corey Anderson,AR,100,149,DELHI DAREDEVILS
Ankit Bawne,BAT,10,14,DELHI DAREDEVILS
Aditya Tare,WK,25,37,DELHI DAREDEVILS
Shashank Singh,AR,10,14,DELHI DAREDEVILS
Pat Cummins,BOW,450,671,DELHI DAREDEVILS
Angelo Mathews,AR,200,298,DELHI DAREDEVILS
M Ashwin,BOW,100,149,DELHI DAREDEVILS
Kagiso Rabada,BOW,500,746,DELHI DAREDEVILS
Navdeep Saini,BOW,10,14,DELHI DAREDEVILS
Sam Billings,WK,30,44,DELHI DAREDEVILS
Zaheer Khan,BOW,400,597,DELHI DAREDEVILS
Amit Mishra,BOW,350,522,DELHI DAREDEVILS
Shahbaz Nadeem,BOW,85,126,DELHI DAREDEVILS
Quinton de Kock,WK,350,522,DELHI DAREDEVILS
Karun Nair,BAT,400,597,DELHI DAREDEVILS
Sanju Samson,WK,420,626,DELHI DAREDEVILS
Chris Morris,AR,700,1044,DELHI DAREDEVILS
Jayant Yadav,AR,10,14,DELHI DAREDEVILS
JP Duminy,BAT,220,328,DELHI DAREDEVILS
Carlos Brathwaite,AR,420,626,DELHI DAREDEVILS
Mohammed Shami,BOW,425,634,DELHI DAREDEVILS
Chama Milind,BOW,10,14,DELHI DAREDEVILS
Shreyas lyer,BAT,260,388,DELHI DAREDEVILS
Pratyush Singh,BAT,10,14,DELHI DAREDEVILS
Rishabh Pant,WK,190,283,DELHI DAREDEVILS
Khaleel Ahmed,BOW,10,14,DELHI DAREDEVILS
Kulwant Khejroliya,BOW,10,14,MUMBAI INDIANS
Karn Sharma,AR,320,477,MUMBAI INDIANS
Saurabh Tiwary,BAT,30,44,MUMBAI INDIANS
Asela Gunaratne,BAT,30,44,MUMBAI INDIANS
K Gowtham,AR,200,298,MUMBAI INDIANS
Mitchell Johnson,BOW,200,298,MUMBAI INDIANS
Nicholas Pooran,WK,30,44,MUMBAI INDIANS
Kieron Pollard,AR,950,1417,MUMBAI INDIANS
Tim Southee,BOW,250,373,MUMBAI INDIANS
Harbhajan Singh,BOW,550,820,MUMBAI INDIANS
Jos Buttler,WK,380,567,MUMBAI INDIANS
Mitchell McClenaghan,BOW,30,44,MUMBAI INDIANS
Parthiv Patel,WK,140,208,MUMBAI INDIANS
Ambati Rayudu,BAT,400,597,MUMBAI INDIANS
Rohit Sharma,BAT,1250,1865,MUMBAI INDIANS
Shreyas Gopal,BOW,10,14,MUMBAI INDIANS
Vinay Kumar,BOW,299,441,MUMBAI INDIANS
Siddhesh Lad,BAT,10,14,MUMBAI INDIANS
Krunal Pandya,AR,200,298,MUMBAI INDIANS
Lasith Malinga,BOW,750,1119,MUMBAI INDIANS
J Suchith,AR,10,14,MUMBAI INDIANS
Lendl Simmons,BAT,55,82,MUMBAI INDIANS
Nitish Rana,BAT,10,14,MUMBAI INDIANS
Hardik Pandya,AR,10,14,MUMBAI INDIANS
Jasprit Bumrah,BOW,120,119,MUMBAI INDIANS
Jitesh Sharma,WK,10,14,MUMBAI INDIANS
Deepak Punia,AR,10,14,MUMBAI INDIANS
Mohammad Nabi,AR,30,44,SUNRISERS HYDERABAD
Chris Jordan,AR,50,74,SUNRISERS HYDERABAD
Ben Laughlin,BOW,30,44,SUNRISERS HYDERABAD
Eklavya Dwivedi,WK,75,111,SUNRISERS HYDERABAD
Pravin Tambe,BOW,10,14,SUNRISERS HYDERABAD
Tanmay Agarwal,BAT,10,14,SUNRISERS HYDERABAD
Rashid Khan,BOW,400,597,SUNRISERS HYDERABAD
Mohammed Siraj,BOW,260,388,SUNRISERS HYDERABAD
David Warner,BAT,550,820,SUNRISERS HYDERABAD
Ben Cutting,AR,50,74,SUNRISERS HYDERABAD
Kane Williamson,BAT,60,89,SUNRISERS HYDERABAD
Shikhar Dhawan,BAT,1250,1865,SUNRISERS HYDERABAD
Abhimanyu Mithun,BOW,30,44,SUNRISERS HYDERABAD
Ashish Nehra,BOW,550,820,SUNRISERS HYDERABAD
Naman Ojha,WK,50,74,SUNRISERS HYDERABAD
Bhuvneshwar Kumar,BOW,425,634,SUNRISERS HYDERABAD
Siddarth Kaul,BOW,10,14,SUNRISERS HYDERABAD
